Individual{TOC=2582.6292175858644, NV=7}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
Individual{TOC=2601.265673665358, NV=5}
runTime = 245149.262269ms
